date,predicted_sales
2018-08-19,1.5229603174603177
2018-08-20,1.0254603174603174
2018-08-21,1.0124603174603173
2018-08-22,1.2659603174603173
2018-08-23,1.5299603174603176
2018-08-24,1.632436507936508
2018-08-25,1.6809365079365077
2018-08-26,2.0301984126984127
2018-08-27,1.6981507936507934
2018-08-28,1.857309523809524
2018-08-29,1.9499285714285717
2018-08-30,2.0918571428571426
2018-08-31,2.0310714285714284
2018-09-01,0.6003333333333334
2018-09-02,0.065
2018-09-03,0.03
2018-09-04,0.03
2018-09-05,0.0
2018-09-06,0.0
2018-09-07,0.0
2018-09-08,0.0
2018-09-09,0.0
2018-09-10,0.0
2018-09-11,0.0
2018-09-12,0.0
2018-09-13,0.0
2018-09-14,0.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,0.0
2018-09-21,0.0
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,0.0
2018-09-25,0.0
2018-09-26,0.0
2018-09-27,0.0
2018-09-28,0.0
2018-09-29,0.0
2018-09-30,0.0
2018-10-01,0.029333333333333333
2018-10-02,0.029333333333333333
2018-10-03,0.06616666666666667
2018-10-04,0.07516666666666667
2018-10-05,0.07433333333333333
2018-10-06,0.12391666666666667
2018-10-07,0.10558333333333335
2018-10-08,0.11141666666666666
2018-10-09,0.11141666666666666
2018-10-10,0.14824999999999997
2018-10-11,0.14658333333333332
2018-10-12,0.14575
2018-10-13,0.19533333333333328
2018-10-14,0.17699999999999996
2018-10-15,0.10408333333333333
2018-10-16,0.10408333333333333
2018-10-17,0.14091666666666666
2018-10-18,0.14658333333333332
2018-10-19,0.14575
2018-10-20,0.19199999999999995
2018-10-21,0.17366666666666664
2018-10-22,0.10408333333333333
2018-10-23,0.10408333333333333
2018-10-24,0.14091666666666666
2018-10-25,0.14658333333333332
2018-10-26,0.14575
2018-10-27,0.19199999999999995
2018-10-28,0.17366666666666664
2018-10-29,0.8759166666666668
2018-10-30,0.9234166666666668
2018-10-31,0.8245833333333334
2018-11-01,0.6599166666666667
2018-11-02,0.60425
2018-11-03,0.6296666666666667
2018-11-04,0.6421666666666667
2018-11-05,0.4595000000000001
2018-11-06,0.7337539682539682
2018-11-07,0.6069444444444445
2018-11-08,1.080277777777778
2018-11-09,1.7469444444444442
2018-11-10,1.5866111111111112
2018-11-11,1.5307777777777776
2018-11-12,0.5877142857142857
2018-11-13,1.1566904761904764
2018-11-14,1.0236309523809526
2018-11-15,1.8449642857142854
2018-11-16,2.956630952380952
